2011-11-15 15:18:59 - PHP Notice:  Undefined variable: scripts in /Volumes/drive2/localhost/frictious/store/catalog/view/theme/boilerplate/template/common/footer.tpl on line 50
2011-11-15 15:18:59 - PHP Warning:  Invalid argument supplied for foreach() in /Volumes/drive2/localhost/frictious/store/catalog/view/theme/boilerplate/template/common/footer.tpl on line 50
2011-11-15 16:48:31 - PHP Notice:  Use of undefined constant DIR_STATIC_IMAGE - assumed 'DIR_STATIC_IMAGE' in /Volumes/drive2/localhost/frictious/store/vqmod/vqcache/vq2-catalog_model_tool_image.php on line 29
2011-11-15 16:48:31 - PHP Warning:  imagejpeg(): Unable to open 'DIR_STATIC_IMAGEcache/data/ipod_shuffle_1-500x500.jpg' for writing: No such file or directory in /Volumes/drive2/localhost/frictious/store/system/library/image.php on line 44
2011-11-15 16:48:31 - PHP Notice:  Use of undefined constant DIR_STATIC_IMAGE - assumed 'DIR_STATIC_IMAGE' in /Volumes/drive2/localhost/frictious/store/vqmod/vqcache/vq2-catalog_model_tool_image.php on line 29
2011-11-15 16:48:31 - PHP Warning:  imagejpeg(): Unable to open 'DIR_STATIC_IMAGEcache/data/ipod_shuffle_1-228x228.jpg' for writing: No such file or directory in /Volumes/drive2/localhost/frictious/store/system/library/image.php on line 44
2011-11-15 16:48:31 - PHP Notice:  Use of undefined constant DIR_STATIC_IMAGE - assumed 'DIR_STATIC_IMAGE' in /Volumes/drive2/localhost/frictious/store/vqmod/vqcache/vq2-catalog_model_tool_image.php on line 29
2011-11-15 16:48:31 - PHP Warning:  imagejpeg(): Unable to open 'DIR_STATIC_IMAGEcache/data/ipod_shuffle_5-500x500.jpg' for writing: No such file or directory in /Volumes/drive2/localhost/frictious/store/system/library/image.php on line 44
2011-11-15 16:48:31 - PHP Notice:  Use of undefined constant DIR_STATIC_IMAGE - assumed 'DIR_STATIC_IMAGE' in /Volumes/drive2/localhost/frictious/store/vqmod/vqcache/vq2-catalog_model_tool_image.php on line 29
2011-11-15 16:48:31 - PHP Warning:  imagejpeg(): Unable to open 'DIR_STATIC_IMAGEcache/data/ipod_shuffle_5-74x74.jpg' for writing: No such file or directory in /Volumes/drive2/localhost/frictious/store/system/library/image.php on line 44
2011-11-15 16:48:32 - PHP Notice:  Use of undefined constant DIR_STATIC_IMAGE - assumed 'DIR_STATIC_IMAGE' in /Volumes/drive2/localhost/frictious/store/vqmod/vqcache/vq2-catalog_model_tool_image.php on line 29
2011-11-15 16:48:32 - PHP Warning:  imagejpeg(): Unable to open 'DIR_STATIC_IMAGEcache/data/ipod_shuffle_4-500x500.jpg' for writing: No such file or directory in /Volumes/drive2/localhost/frictious/store/system/library/image.php on line 44
2011-11-15 16:48:32 - PHP Notice:  Use of undefined constant DIR_STATIC_IMAGE - assumed 'DIR_STATIC_IMAGE' in /Volumes/drive2/localhost/frictious/store/vqmod/vqcache/vq2-catalog_model_tool_image.php on line 29
2011-11-15 16:48:32 - PHP Warning:  imagejpeg(): Unable to open 'DIR_STATIC_IMAGEcache/data/ipod_shuffle_4-74x74.jpg' for writing: No such file or directory in /Volumes/drive2/localhost/frictious/store/system/library/image.php on line 44
2011-11-15 16:48:32 - PHP Notice:  Use of undefined constant DIR_STATIC_IMAGE - assumed 'DIR_STATIC_IMAGE' in /Volumes/drive2/localhost/frictious/store/vqmod/vqcache/vq2-catalog_model_tool_image.php on line 29
2011-11-15 16:48:32 - PHP Warning:  imagejpeg(): Unable to open 'DIR_STATIC_IMAGEcache/data/ipod_shuffle_2-500x500.jpg' for writing: No such file or directory in /Volumes/drive2/localhost/frictious/store/system/library/image.php on line 44
2011-11-15 16:48:32 - PHP Notice:  Use of undefined constant DIR_STATIC_IMAGE - assumed 'DIR_STATIC_IMAGE' in /Volumes/drive2/localhost/frictious/store/vqmod/vqcache/vq2-catalog_model_tool_image.php on line 29
2011-11-15 16:48:32 - PHP Warning:  imagejpeg(): Unable to open 'DIR_STATIC_IMAGEcache/data/ipod_shuffle_2-74x74.jpg' for writing: No such file or directory in /Volumes/drive2/localhost/frictious/store/system/library/image.php on line 44
2011-11-15 16:48:32 - PHP Notice:  Use of undefined constant DIR_STATIC_IMAGE - assumed 'DIR_STATIC_IMAGE' in /Volumes/drive2/localhost/frictious/store/vqmod/vqcache/vq2-catalog_model_tool_image.php on line 29
2011-11-15 16:48:32 - PHP Warning:  imagejpeg(): Unable to open 'DIR_STATIC_IMAGEcache/data/ipod_shuffle_3-500x500.jpg' for writing: No such file or directory in /Volumes/drive2/localhost/frictious/store/system/library/image.php on line 44
2011-11-15 16:48:32 - PHP Notice:  Use of undefined constant DIR_STATIC_IMAGE - assumed 'DIR_STATIC_IMAGE' in /Volumes/drive2/localhost/frictious/store/vqmod/vqcache/vq2-catalog_model_tool_image.php on line 29
2011-11-15 16:48:32 - PHP Warning:  imagejpeg(): Unable to open 'DIR_STATIC_IMAGEcache/data/ipod_shuffle_3-74x74.jpg' for writing: No such file or directory in /Volumes/drive2/localhost/frictious/store/system/library/image.php on line 44
2011-11-15 16:48:32 - PHP Notice:  Use of undefined constant DIR_STATIC_IMAGE - assumed 'DIR_STATIC_IMAGE' in /Volumes/drive2/localhost/frictious/store/vqmod/vqcache/vq2-catalog_model_tool_image.php on line 29
2011-11-15 16:48:32 - PHP Warning:  imagejpeg(): Unable to open 'DIR_STATIC_IMAGEcache/data/hp_banner-182x182.jpg' for writing: No such file or directory in /Volumes/drive2/localhost/frictious/store/system/library/image.php on line 44
2011-11-15 16:48:33 - PHP Notice:  Use of undefined constant DIR_STATIC_IMAGE - assumed 'DIR_STATIC_IMAGE' in /Volumes/drive2/localhost/frictious/store/vqmod/vqcache/vq2-catalog_model_tool_image.php on line 29
2011-11-15 16:48:33 - PHP Warning:  imagejpeg(): Unable to open 'DIR_STATIC_IMAGEcache/data/hp_banner-182x182.jpg' for writing: No such file or directory in /Volumes/drive2/localhost/frictious/store/system/library/image.php on line 44
2011-11-15 16:48:33 - PHP Notice:  Use of undefined constant DIR_STATIC_IMAGE - assumed 'DIR_STATIC_IMAGE' in /Volumes/drive2/localhost/frictious/store/vqmod/vqcache/vq2-catalog_model_tool_image.php on line 29
2011-11-15 16:48:33 - PHP Warning:  imagejpeg(): Unable to open 'DIR_STATIC_IMAGEcache/data/hp_banner-182x182.jpg' for writing: No such file or directory in /Volumes/drive2/localhost/frictious/store/system/library/image.php on line 44
2011-11-15 16:48:33 - PHP Notice:  Use of undefined constant DIR_STATIC_IMAGE - assumed 'DIR_STATIC_IMAGE' in /Volumes/drive2/localhost/frictious/store/vqmod/vqcache/vq2-catalog_model_tool_image.php on line 29
2011-11-15 16:48:33 - PHP Warning:  imagejpeg(): Unable to open 'DIR_STATIC_IMAGEcache/data/hp_banner-182x182.jpg' for writing: No such file or directory in /Volumes/drive2/localhost/frictious/store/system/library/image.php on line 44
